2026-03-05T01:32:48.359812 | STOP_HOOK_START | session=1e1bcb67-a72d-4341-9e37-040d7f1885fa | event=Stop
2026-03-05T01:32:48.431251 | STOP_HOOK_END | session=1e1bcb67-a72d-4341-9e37-040d7f1885fa | captured=0
2026-03-05T07:58:20.830526 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T07:58:20.861473 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T08:41:51.111272 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T08:41:51.150299 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T08:45:49.918491 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T08:45:49.952323 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T08:46:57.964204 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T08:46:57.998036 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T08:47:38.867326 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T08:47:38.901359 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T08:48:23.434138 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T08:48:23.467153 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T08:52:28.073909 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T08:52:28.109216 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T08:52:57.631175 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T08:52:57.665129 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T08:54:25.781560 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T08:54:25.817782 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T10:47:57.163837 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T10:47:57.203249 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T10:52:05.765370 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T10:52:05.809048 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T11:09:31.451540 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T11:09:31.491819 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T11:11:26.088321 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T11:11:26.132367 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T11:25:12.506203 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T11:25:12.553340 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T11:32:07.570716 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T11:32:07.619435 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T11:32:39.906464 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T11:32:39.952381 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T11:43:38.721246 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T11:43:38.769882 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T12:09:27.353814 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T12:09:27.405994 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T12:19:57.771481 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T12:19:57.826589 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T12:36:07.336027 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T12:36:07.391343 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T13:15:14.759519 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T13:15:14.813828 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T13:17:56.050153 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T13:17:56.103966 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T13:19:32.760061 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T13:19:32.819341 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T13:21:06.850815 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T13:21:06.905310 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T13:22:21.546397 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T13:22:21.625201 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T13:23:20.771840 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T13:23:20.832315 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T13:24:52.613413 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T13:24:52.678273 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T13:25:34.822854 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T13:25:34.885639 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T13:30:40.949673 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T13:30:41.015145 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T13:35:45.948539 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T13:35:46.014981 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T13:36:25.888051 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T13:36:25.967270 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T13:52:05.971101 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T13:52:06.051375 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T13:52:41.132291 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T13:52:41.200612 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T13:56:42.131805 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T13:56:42.202309 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T14:00:33.401968 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T14:00:33.481688 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T14:17:35.545941 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T14:17:35.619899 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T15:03:34.892240 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T15:03:34.963353 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T15:12:08.004696 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T15:12:08.082104 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T15:35:28.241853 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T15:35:28.317808 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T15:55:24.085736 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T15:55:24.165070 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T16:22:12.039414 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T16:22:12.134858 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T16:50:46.057031 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T16:50:46.141119 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T16:58:06.922387 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T16:58:07.008376 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T17:05:06.158075 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T17:05:06.243911 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
2026-03-05T17:05:30.384000 | STOP_HOOK_START | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | event=Stop
2026-03-05T17:05:30.470437 | STOP_HOOK_END | session=b42164c6-75ba-41b8-887b-a7877afd7c32 | captured=0
